member_id,sr_no,state_raw,mp_name_raw,constituency_raw,allocated_amount,allocated_amount_raw,state,mp_name,mp_name_clean,has_title_prefix,name_case_consistent,name_has_double_space,constituency,amount_missing,amount_has_paise,constituency_category,constituency_base,member_key
21,21,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,147000000,Bihar,Alok Kumar Suman,Alok Kumar Suman,False,True,False,GOPALGANJ (SC),False,False,sc,GOPALGANJ,bihar|alok kumar suman|gopalganj (sc)
22,22,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,147000000,Madhya Pradesh,ALOK SHARMA,ALOK SHARMA,False,False,False,BHOPAL,False,False,general,BHOPAL,madhya pradesh|alok sharma|bhopal
23,23,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,147000000,Maharashtra,AMAR SHARADRAO KALE,AMAR SHARADRAO KALE,False,False,False,WARDHA,False,False,general,WARDHA,maharashtra|amar sharadrao kale|wardha
24,24,Assam,AMARSING TISSO,Diphu (ST),147000000.0,147000000,Assam,AMARSING TISSO,AMARSING TISSO,False,False,False,Diphu (ST),False,False,st,Diphu,assam|amarsing tisso|diphu (st)
25,25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,201899064.11,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,AMBICA G LAKSHMINARAYANA VALMIKI,False,False,False,ANANTAPUR,False,True,general,ANANTAPUR,andhra pradesh|ambica g lakshminarayana valmiki|anantapur
26,26,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,147000000,Maharashtra,Amol Ramsing Kolhe,Amol Ramsing Kolhe,False,True,False,SHIRUR,False,False,general,SHIRUR,maharashtra|amol ramsing kolhe|shirur
27,27,Rajasthan,AMRARAM,SIKAR,165691544.11,165691544.11,Rajasthan,AMRARAM,AMRARAM,False,False,False,SIKAR,False,True,general,SIKAR,rajasthan|amraram|sikar
28,28,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,147000000,Punjab,AMRINDER SINGH RAJA WARRING,AMRINDER SINGH RAJA WARRING,False,False,False,LUDHIANA,False,False,general,LUDHIANA,punjab|amrinder singh raja warring|ludhiana
29,29,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,147000000,Uttar Pradesh,ANAND BHADAURIYA,ANAND BHADAURIYA,False,False,False,DHAURAHRA,False,False,general,DHAURAHRA,uttar pradesh|anand bhadauriya|dhaurahra
30,30,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,147000000,Uttar Pradesh,ANAND KUMAR,ANAND KUMAR,False,False,False,BAHRAICH(SC),False,False,sc,BAHRAICH,uttar pradesh|anand kumar|bahraich(sc)
31,31,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,147000000,Odisha,ANANTA NAYAK,ANANTA NAYAK,False,False,False,KEONJHAR(ST),False,False,st,KEONJHAR,odisha|ananta nayak|keonjhar(st)
32,32,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,147000000,Tamil Nadu,Andimuthu Raja,Andimuthu Raja,False,True,False,NILGIRIS(SC),False,False,sc,NILGIRIS,tamil nadu|andimuthu raja|nilgiris(sc)
33,33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,98000000,Meghalaya,ANDREW J. SYNGKON,ANDREW J. SYNGKON,False,False,False,SHILLONG,False,False,general,SHILLONG,meghalaya|andrew j. syngkon|shillong
34,34,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,147000000,Manipur,ANGOMCHA BIMOL AKOIJAM,ANGOMCHA BIMOL AKOIJAM,False,False,False,INNER MANIPUR,False,False,general,INNER MANIPUR,manipur|angomcha bimol akoijam|inner manipur
35,35,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,147000000,Uttarakhand,ANIL BALUNI,ANIL BALUNI,False,False,False,GARHWAL,False,False,general,GARHWAL,uttarakhand|anil baluni|garhwal
36,36,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,147000000,Maharashtra,ANIL YESHWANT DESAI,ANIL YESHWANT DESAI,False,False,False,MUMBAI SOUTH CENTRAL,False,False,general,MUMBAI SOUTH CENTRAL,maharashtra|anil yeshwant desai|mumbai south central
37,37,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,147000000,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,ANITA NAGARSINGH CHOUHAN,False,False,False,RATLAM(ST),False,False,st,RATLAM,madhya pradesh|anita nagarsingh chouhan|ratlam(st)
38,38,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,147000000,Odisha,ANITA SUBHADARSHINI,ANITA SUBHADARSHINI,False,False,False,ASKA,False,False,general,ASKA,odisha|anita subhadarshini|aska
39,39,Jharkhand,Annpurna Devi,KODARMA,166665931.8,166665931.8,Jharkhand,Annpurna Devi,Annpurna Devi,False,True,False,KODARMA,False,True,general,KODARMA,jharkhand|annpurna devi|kodarma
40,40,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,147000000,Uttar Pradesh,ANOOP PRADHAN BALMIKI,ANOOP PRADHAN BALMIKI,False,False,False,HATHRAS (SC),False,False,sc,HATHRAS,uttar pradesh|anoop pradhan balmiki|hathras (sc)
41,41,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,147000000,Kerala,Anto Antony,Anto Antony,False,True,False,PATHANAMTHITTA,False,False,general,PATHANAMTHITTA,kerala|anto antony|pathanamthitta
